Niveau	Chemin complet
2	ENFANTS > Découvertes et sciences > Géographie
2	ENFANTS > Découvertes et sciences > Histoire
2	ENFANTS > Découvertes et sciences > Inventions
2	ENFANTS > Découvertes et sciences > Nature & Écologie
2	ENFANTS > Découvertes et sciences > Numérique
2	ENFANTS > Découvertes et sciences > Sports
2	ENFANTS > Découvertes et sciences > Véhicules
1	ENFANTS > Documentaires
1	ENFANTS > Émotions et confiance
1	ENFANTS > Histoires et contes
2	ENFANTS > Histoires et contes > Aventures
2	ENFANTS > Histoires et contes > Enquêtes
2	ENFANTS > Histoires et contes > Fantastique enfant
2	ENFANTS > Histoires et contes > Poésie enfantine
2	ENFANTS > Histoires et contes > Premières lectures
1	ENFANTS > Licences & Personnages
1	ENFANTS > Livres d'autocollants
1	ENFANTS > Livres scolaires primaire
1	ENFANTS > Livres sonores
1	ENFANTS > Tout-petits
2	ENFANTS > Tout-petits > 5 sens
2	ENFANTS > Tout-petits > Comptines
2	ENFANTS > Tout-petits > Corps humain
2	ENFANTS > Tout-petits > Couleurs
2	ENFANTS > Tout-petits > Formes
2	ENFANTS > Tout-petits > Lettres
2	ENFANTS > Tout-petits > Nombres
2	ENFANTS > Tout-petits > Premiers mots
2	ENFANTS > Tout-petits > Saisons
0	FORMATS SPÉCIAUX
1	FORMATS SPÉCIAUX > Coffrets
1	FORMATS SPÉCIAUX > Intégrales
1	FORMATS SPÉCIAUX > Livres audio (CD)
1	FORMATS SPÉCIAUX > Livres de poche
1	FORMATS SPÉCIAUX > Livres grand format
0	JEUNES ADULTES (16-25 ans)
1	JEUNES ADULTES (16-25 ans) > BD jeunes adultes
1	JEUNES ADULTES (16-25 ans) > Bien-être & Spiritualité
1	JEUNES ADULTES (16-25 ans) > Classiques jeunes adultes
1	JEUNES ADULTES (16-25 ans) > Dystopie
2	JEUNES ADULTES (16-25 ans) > Dystopie > Space opera
2	JEUNES ADULTES (16-25 ans) > Dystopie > Steampunk
1	JEUNES ADULTES (16-25 ans) > Fantastique urbain
1	JEUNES ADULTES (16-25 ans) > Grandir
1	JEUNES ADULTES (16-25 ans) > Puberté
1	JEUNES ADULTES (16-25 ans) > Réalisme social
